Country	6_1_1	6_2_1	6_2_2	6_2_3	6_3_1	6_3_2	6_3_3	6_1_1_adj	6_2_1_adj	6_2_2_adj	6_2_3_adj	6_3_1_adj	6_3_2_adj	6_3_3_adj	6_1_1_norm	6_2_1_norm	6_2_2_norm	6_2_3_norm	6_3_1_norm	6_3_2_norm	6_3_3_norm	ASN	TFSS	TWAR	Total	Ranking
Greece	64.30	67.42	89.60	1.53	13.32	17.25	35.52	64.30	67.42	89.60	1.53	13.32	17.25	35.52	0.463601533	0.323149923	0.979661017	0.629653544	0.339800859	0.634340114	0	0.463601533	0.644154828	0.324713658	0.477490006	19
Hungary	91.80	79.61	81.40	1.03				91.80	79.61	81.40	1.03				0.990421456	0.592082553	0.701694915	0.168349429				0.990421456	0.487375632		0.738898544	3
Ireland	75.70	82.47	67.80	1.91	7.63	19.07	64.94	75.70	82.47	67.80	1.91	7.63	19.07	64.94	0.681992337	0.655103423	0.240677966	0.980554042	0.625597369	0.511534227	0.744590925	0.681992337	0.625445144	0.62724084	0.644892774	8
Israel						20.97	55.66						20.97	55.66						0.383850518	0.509899274			0.446874896		
Italy	81.20	83.32	67.20	1.02	16.03	15.88	41.08	81.20	83.32	67.20	1.02	16.03	15.88	41.08	0.787356322	0.673859668	0.220338983	0.165434087	0.203509425	0.725983623	0.140686574	0.787356322	0.353210912	0.356726541	0.499097925	15
Japan						22.16	50.85						22.16	50.85						0.304000518	0.387987733			0.345994125		
Korea						19.33	57.82						19.33	57.82						0.494437745	0.564598535			0.52951814		
Lithuania	62.50	83.79	87.70	1.28	15.70	26.68	52.88	62.50	83.79	87.70	1.28	15.70	26.68	52.88	0.429118774	0.684294444	0.915254237	0.402270064	0.220389583	0	0.439482544	0.429118774	0.667272915	0.219957376	0.438783022	22
Luxembourg	72.50	85.79	89.90	1.30				72.50	85.79	89.90	1.30				0.620689655	0.728292814	0.989830508	0.41598371				0.620689655	0.711369011		0.666029333	6
Latvia	46.60	77.60	74.60	1.25				46.60	77.60	74.60	1.25				0.124521073	0.547829328	0.471186441	0.370185107				0.124521073	0.463066959		0.293794016	23
Netherlands	71.30	86.96	79.40	1.29	10.11	16.92	75.00	71.30	86.96	79.40	1.29	10.11	16.92	75.00	0.597701149	0.754149385	0.633898305	0.405685581	0.501191631	0.655929357	0.999449127	0.597701149	0.597911091	0.718856705	0.638156315	9
Norway	70.90	96.69	82.30	1.58	8.04	16.00	70.74	70.90	96.69	82.30	1.58	8.04	16.00	70.74	0.590038314	0.968688603	0.73220339	0.674889198	0.604938634	0.718171129	0.891593531	0.590038314	0.791927064	0.738234431	0.70673327	4
New Zealand					4.58	19.22	72.68					4.58	19.22	72.68					0.778674119	0.501276258	0.940642833			0.740197737		
Poland	40.10	66.37	74.60	1.50	16.43	25.04	54.85	40.10	66.37	74.60	1.50	16.43	25.04	54.85	0	0.299965356	0.471186441	0.598493789	0.183381418	0.109764384	0.489203728	0	0.456548528	0.260783177	0.239110568	24
Portugal	79.30	91.04	85.20	1.52				79.30	91.04	85.20	1.52				0.750957854	0.844209462	0.830508475	0.617369066				0.750957854	0.764029001		0.757493428	2
Slovak Republic	54.00	74.24	74.10	1.50	4.81	19.26	55.40	54.00	74.24	74.10	1.50	4.81	19.26	55.40	0.266283525	0.473540353	0.454237288	0.603221712	0.767166669	0.498535922	0.503282457	0.266283525	0.510333118	0.589661683	0.455426108	21
